workerid,movieID,reactionTime,PArray,AArray,trialNum,expt
618,1,543,1,1,12,6:Attn19s
613,5,407,0,1,12,6:Attn19s
594,1,647,1,1,12,6:Attn19s
635,1,435,1,1,12,6:Attn19s
614,5,444,0,1,12,6:Attn19s
589,7,517,0,0,12,6:Attn19s
608,7,509,0,0,12,6:Attn19s
627,7,405,0,0,12,6:Attn19s
621,5,519,0,1,12,6:Attn19s
638,3,409,1,0,12,6:Attn19s
576,7,655,0,0,12,6:Attn19s
626,1,823,1,1,12,6:Attn19s
410,7,684,0,0,12,6:Attn19s
598,1,575,1,1,12,6:Attn19s
634,7,568,0,0,12,6:Attn19s
619,5,828,0,1,12,6:Attn19s
629,3,607,1,0,13,6:Attn19s
637,5,478,0,1,13,6:Attn19s
578,7,548,0,0,13,6:Attn19s
590,3,436,1,0,13,6:Attn19s
604,5,480,0,1,13,6:Attn19s
263,7,404,0,0,13,6:Attn19s
623,3,714,1,0,13,6:Attn19s
580,7,964,0,0,13,6:Attn19s
636,7,537,0,0,13,6:Attn19s
148,3,530,1,0,13,6:Attn19s
273,7,409,0,0,13,6:Attn19s
612,7,605,0,0,13,6:Attn19s
601,3,530,1,0,13,6:Attn19s
588,1,529,1,1,13,6:Attn19s
615,1,418,1,1,13,6:Attn19s
577,3,535,1,0,13,6:Attn19s
569,1,467,1,1,13,6:Attn19s
597,3,593,1,0,13,6:Attn19s
618,5,463,0,1,13,6:Attn19s
633,1,387,1,1,13,6:Attn19s
589,7,421,0,0,13,6:Attn19s
608,3,680,1,0,13,6:Attn19s
586,1,607,1,1,13,6:Attn19s
617,3,631,1,0,13,6:Attn19s
621,5,399,0,1,13,6:Attn19s
587,1,421,1,1,13,6:Attn19s
576,1,574,1,1,13,6:Attn19s
584,3,558,1,0,13,6:Attn19s
626,5,479,0,1,13,6:Attn19s
634,3,615,1,0,13,6:Attn19s
595,7,424,0,0,13,6:Attn19s
629,5,534,0,1,14,6:Attn19s
585,1,2359,1,1,14,6:Attn19s
578,7,587,0,0,14,6:Attn19s
622,7,499,0,0,14,6:Attn19s
610,3,547,1,0,14,6:Attn19s
582,7,689,0,0,14,6:Attn19s
623,7,810,0,0,14,6:Attn19s
579,1,544,1,1,14,6:Attn19s
148,3,579,1,0,14,6:Attn19s
609,7,488,0,0,14,6:Attn19s
631,5,409,0,1,14,6:Attn19s
628,3,425,1,0,14,6:Attn19s
575,3,591,1,0,14,6:Attn19s
588,7,593,0,0,14,6:Attn19s
569,5,502,0,1,14,6:Attn19s
605,7,1332,0,0,14,6:Attn19s
611,7,705,0,0,14,6:Attn19s
607,3,625,1,0,14,6:Attn19s
571,3,564,1,0,14,6:Attn19s
591,7,561,0,0,14,6:Attn19s
616,5,538,0,1,14,6:Attn19s
